순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
91,(주)강림정공,김○○,해당없음,"부산광역시 사상구 사상로440번길 28 (모라동, 강림정공)",051-301-0560,051-302-0560,1998-01-01,1998-01-01,2001-02-27,2001-02-27,1268.8,695.38,204.25,"30399, 25200, 25941, 25942, 25999, 29120, 29131, 29142, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 10종,도시지역/공업지역/준공업지역
92,(주)강만,손○○,해당없음,부산광역시 강서구 신호산단1로 220-3 (신호동),051-831-9025,051-831-9083,2002-09-27,미등록,2004-06-17,2025-02-12,1630.3,433.92,271.45,"25113, 25114",육상 금속 골조 구조재 제조업 외 1종,도시지역/공업지역/일반공업지역
93,(주)강산지앤지,이○○,해당없음,부산광역시 강서구 대부길 279 (강동동),051-313-3397,051-462-5307,미등록,미등록,2010-06-14,2010-06-14,1402,192.6,0,13999,그 외 기타 분류 안된 섬유제품 제조업,도시지역/주거지역/제1종일반주거지역
94,(주)강영스틸,최○○,해당없음,부산광역시 강서구 미음국제5로라길 16 (미음동),051-316-7773,051-316-7774,2021-05-18,2021-05-18,2021-05-18,2026-05-22,992.1,600,196.223,29199,그 외 기타 일반목적용 기계 제조업,도시지역/공업지역/일반공업지역
95,(주)강원이솔루션,신○○,해당없음,부산광역시 강서구 과학산단로305번길 8(지사동),051-974-5892,051-972-2247,2021-11-18,2022-06-09,2022-06-09,2022-06-09,0,266,534,"29299, 70129",그 외 기타 특수목적용 기계 제조업 외 1종,도시지역/공업지역/준공업지역
96,(주)강진금속,진○○,해당없음,"부산광역시 사상구 새벽로 20 (학장동, (주)강진금속)",051-311-9500,051-311-6081,2005-10-17,2005-10-17,2006-04-21,2025-12-18,1697.2,1032.3,306.4,"25113, 25114",육상 금속 골조 구조재 제조업 외 1종,도시지역/공업지역/전용공업지역
97,(주)개원강철,이○○,해당없음,부산광역시 강서구 가달2로16번길 18 (생곡동),051-971-8182,051-973-8182,2025-02-27,2025-02-27,2025-03-05,2025-03-05,0,1110.47,0,24199,그 외 기타 1차 철강 제조업,도시지역/공업지역/일반공업지역
98,(주)갭스앤디컴퍼니,장○○,해당없음,"부산광역시 해운대구 센텀중앙로 66, 801호 (태아티타워) (우동)",051-911-9890,미등록,2013-10-01,미등록,2015-04-09,2015-04-17,157.86,30,127.86,"18111, 18113, 58190, 71310, 73203",경 인쇄업 외 4종,도시지역/상업지역/일반상업지역
99,(주)거둠,서○○,해당없음,부산광역시 사상구 사상로425번길 17 (모라동),051-305-3555,051-302-3552,2015-06-17,미등록,2015-06-17,2024-04-12,1190.9,899.41,499.74,"28511, 25924, 25929",주방용 전기기기 제조업 외 2종,도시지역/공업지역/준공업지역
100,(주)거림케미칼,박○○,해당없음,부산광역시 부산진구 개금온정로26번길 31 (개금동),051-894-8111,051-894-8140,미등록,미등록,1997-04-23,2007-11-07,180,140,0,"15219, 15220",기타 신발 제조업 외 1종,도시지역/주거지역/제2종일반주거지역
101,(주)거맥에스엔피,김○○,해당없음,부산광역시 사하구 다산로53번길 15 (다대동),051-264-3315,051-265-5193,2006-08-29,2006-08-29,2006-09-08,2006-09-08,2398.2,1132.9,552,"25929, 31114",그 외 기타 금속가공업 외 1종,도시지역/공업지역/일반공업지역
102,(주)거보,박○○,해당없음,부산광역시 강서구 녹산산업중로 130 (송정동),051-831-1291,051-831-1295,2020-12-16,2020-12-16,2021-01-29,2022-10-26,8460.3,6647.8,982.5,"31114, 22191, 25999",선박 구성 부분품 제조업 외 2종,도시지역/공업지역/일반공업지역
103,(주)거보녹산지점,박○○,해당없음,부산광역시 강서구 녹산산단165로14번길 11-21 (송정동),051-831-1291,051-831-1295,2011-04-22,미등록,2000-10-18,2018-08-17,1763.9,988,459.92,"31114, 25999",선박 구성 부분품 제조업 외 1종,도시지역/공업지역/일반공업지역
104,(주)거성모방,김○○,해당없음,부산광역시 사하구 신산로 20 (신평동),051-207-6584,051-207-6587,1998-01-01,미등록,1992-04-24,2015-05-18,6384.6,3839.02,2172.9,13401,솜 및 실 염색가공업,도시지역/공업지역/전용공업지역
105,(주)거성엔지니어링,강○○,해당없음,부산광역시 기장군 정관면 산단4로 2-1 (엠에스플라텍),051-516-1882,미등록,미등록,미등록,2011-03-11,2011-03-11,1650,495,0,25112,구조용 금속 판제품 및 공작물 제조업,도시지역/공업지역/일반공업지역
106,(주)거연기업,도○○,해당없음,부산광역시 강서구 낙동남로456번길 25-24 (녹산동),051-973-0409,051-866-0409,미등록,미등록,2017-09-04,2017-09-04,864,202.5,0,"25999, 25112, 25113, 25119, 28422",그 외 기타 분류 안된 금속 가공 제품 제조업 외 4종,도시지역/주거지역/제1종일반주거지역
107,(주)거청,김○○,해당없음,"부산광역시 영도구 해양로 125 (청학동, (주)거청) (총 6 필지)",051-418-7741,051-418-7749,2003-10-30,2011-03-30,2004-08-23,2011-04-04,26234,28319.83,1437.8,31114,선박 구성 부분품 제조업,도시지역/공업지역/전용공업지역
108,(주)건국테크,김○○,해당없음,부산광역시 기장군 정관읍 산단4로 54,051-526-5222,052-527-5222,2024-04-26,2026-06-19,2024-04-29,2026-06-19,0,489.19,0,"28421, 28511, 30201",운송장비용 조명장치 제조업 외 2종,도시지역/공업지역/일반공업지역
109,(주)건안산업,김○○,해당없음,"부산광역시 북구 낙동대로 1600 (구포동, 건안산업구포공장)",051-303-3003,51,미등록,미등록,2005-08-18,2006-06-19,502.6,462.6,32.5,"22223, 22229, 25111",플라스틱 창호 제조업 외 2종,도시지역/주거지역/준주거지역
110,(주)건양아이티티,김○○,해당없음,부산광역시 강서구 미음산단5로60번길 15 (미음동),051-660-9192,051-324-6770,2012-12-06,2012-12-06,2014-12-24,2014-12-24,4603.8,2663.7,1423.45,"29199, 29177",그 외 기타 일반목적용 기계 제조업 외 1종,도시지역/공업지역/일반공업지역
111,(주)건영주물,이○○,해당없음,부산광역시 사상구 감전천로 84 (학장동),051-315-5567,051-311-5568,2001-07-25,미등록,2001-07-25,2016-11-08,901.6,617.67,93.72,29293,주형 및 금형 제조업,도시지역/공업지역/전용공업지역
112,(주)건영패밀리,허○○,해당없음,부산광역시 강서구 신호산단2로75번길 49 (신호동),미등록,미등록,미등록,미등록,2011-03-10,2011-03-10,226.1,42.48,0,"28909, 26429, 29131, 29174, 29176",그 외 기타 전기장비 제조업 외 4종,도시지역/주거지역/제1종일반주거지역
113,(주)건우테크,선○○,해당없음,부산광역시 강서구 과학산단1로60번길 30 (지사동),051-467-0041,051-467-0042,2020-10-26,2020-10-26,2020-10-26,2020-10-26,38605.6,81.97,1002.19,"28111, 29174, 30332, 30399",전동기 및 발전기 제조업 외 3종,도시지역/공업지역/일반공업지역
114,(주)건인씨엔알,차○○,해당없음,부산광역시 기장군 정관읍 용수공단1길 38,미등록,미등록,미등록,미등록,2018-04-30,2018-04-30,4279,292,32,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,도시지역/공업지역/일반공업지역
115,(주)건일,박○○,해당없음,부산광역시 기장군 일광면 화용길 74-13,051-704-0211,051-724-0213,미등록,미등록,2017-08-10,2020-12-21,1121,168,30,22223,플라스틱 창호 제조업,도시지역/녹지지역/자연녹지지역
116,(주)건창축산유통,이○○,해당없음,부산광역시 강서구 상덕로97번길 85 (강동동),051-941-7601,051-941-7603,미등록,미등록,2010-04-16,2017-06-19,1002.36,391.45,0,"10129, 10122",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종,도시지역/주거지역/제1종일반주거지역
117,(주)겐츠 베이커리,정○○,부산시범공단,"부산광역시 남구 용호로159번길 94, B1층 103~107호 (용호동)",051-612-5011,051-612-4222,미등록,미등록,2016-08-17,2016-08-17,621.27,401.1,220.17,10602,빵류 제조업,도시지역/공업지역/준공업지역
118,(주)경강,이○○,해당없음,"부산광역시 사상구 감전천로 49 (감전동, (주)경강)",051-322-2703,051-322-2705,1998-01-01,1998-01-01,1990-04-10,2009-12-02,1625.02,604.6,0,"20499, 20495, 21301, 28902",그 외 기타 분류 안된 화학제품 제조업 외 3종,도시지역/공업지역/전용공업지역
119,(주)경기,이○○,해당없음,부산광역시 강서구 녹산산업북로313번길 49 (송정동),051-832-2055,051-832-2056,2003-09-02,미등록,2003-10-16,2003-10-16,0,450,280,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1종,도시지역/공업지역/일반공업지역
120,(주)경기색소,황○○,해당없음,부산광역시 사하구 을숙도대로 526 (신평동),051-291-0265,051-203-0178,1998-01-01,미등록,1979-06-26,2016-01-12,3306,1781,0,20132,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",도시지역/공업지역/전용공업지역
121,(주)경남엔지니어링,백○○,해당없음,부산광역시 강서구 가리새2로13번길 11 (생곡동),051-941-0001,051-941-6203,2011-10-27,2011-10-27,2018-08-23,2018-09-21,6689.6,3921,1077.7,"29172, 29171, 29173",가정용 및 산업용 공기 조화장치 제조업 외 2종,도시지역/공업지역/일반공업지역
122,(주)경남은행 녹산지점,정○○,해당없음,미등록,051-831-3250,051-831-3254,2017-10-11,미등록,미등록,미등록,1660,0,1056.1,미등록,미등록,도시지역/상업지역/일반상업지역
123,(주)경동금속주방,김○○,해당없음,"부산광역시 사상구 학감대로 184-23(학장동, 경동금속)",051-312-0203,051-326-5459,2021-07-29,2021-07-29,2021-07-29,2021-07-29,803.8,578.19,555.03,"29199, 25112, 25113, 25932, 25991, 25992, 25993, 28511, 29177, 29250, 32021, 32091",그 외 기타 일반목적용 기계 제조업 외 11종,도시지역/공업지역/준공업지역
124,(주)경동금속주방,김○○,해당없음,부산광역시 사상구 학감대로 184-23 (학장동),051-312-0203,051-326-5459,2016-02-17,미등록,2016-09-20,2017-12-14,803.8,578.19,555.03,"29199, 25992, 25993, 28511, 29177, 29250, 32021, 32091",그 외 기타 일반목적용 기계 제조업 외 7종,도시지역/공업지역/전용공업지역
125,(주)경동열처리,박○○,해당없음,부산광역시 강서구 녹산산업북로 259 (송정동),051-304-9318,051-304-9317,2019-02-21,미등록,2019-04-19,2019-04-19,1651.5,1167.25,189.62,25921,금속 열처리업,도시지역/공업지역/일반공업지역
126,(주)경동유리제경사,박○○,해당없음,"부산광역시 금정구 반송로489번길 36(금사동, 선진제경)",051-302-8882,051-806-8809,2021-11-30,2021-11-30,2021-12-01,2021-12-01,1688.9,1004.11,210.08,23122,디스플레이 장치용 유리 제조업,도시지역/공업지역/준공업지역
127,(주)경동특수주강,오○○○○○○○,해당없음,"부산광역시 사상구 학장로95번길 20(학장동, 경동특수주강)",051-311-1670,051-311-1674,2022-03-08,2022-03-08,2022-03-11,2022-03-11,2390.1,484.92,64.3,24312,강주물 주조업,도시지역/공업지역/준공업지역
128,(주)경동특수주강,오○○○○○○,해당없음,부산광역시 강서구 화전산단5로38번길 20 (화전동),051-311-1670,051-311-1674,2017-02-07,미등록,2017-06-21,2017-06-21,7293.9,4959.08,654.94,24312,강주물 주조업,도시지역/공업지역/일반공업지역
129,(주)경동특수주강,오○○,해당없음,부산광역시 사상구 학장로95번길 19 (학장동),051-311-1670,051-311-1674,2004-12-07,미등록,2008-09-29,2018-04-17,2123.1,1320.53,241.5,24312,강주물 주조업,도시지역/공업지역/전용공업지역
130,(주)경동특수주강,오○○,해당없음,"부산광역시 사상구 학장로95번길 20 (학장동, 경동특수주강)",051-311-1670,051-311-1674,1989-05-01,미등록,1996-06-17,2018-04-17,1792.55,484.92,64.3,24312,강주물 주조업,도시지역/공업지역/전용공업지역
131,(주)경동화학,이○○,해당없음,부산광역시 강서구 녹산산단262로13번길 19 (송정동),051-313-8891,051-312-5094,2000-06-13,미등록,2004-09-13,2016-09-07,3794.5,200,0,20129,기타 기초 무기 화학물질 제조업,도시지역/공업지역/일반공업지역
132,(주)경동화학,이○○,해당없음,"부산광역시 사상구 새벽로17번길 11 (학장동, 경동화학)",051-313-8891,051-312-5094,1998-01-01,1998-01-01,1996-07-19,1996-07-19,951,77.53,108.13,20119,기타 기초 유기화학 물질 제조업,도시지역/공업지역/전용공업지역
133,(주)경맥,남○○,해당없음,부산광역시 사하구 다대로354번길 71 (장림동),051-292-8234,051-208-7002,2010-03-30,2010-03-30,2010-04-02,2010-04-02,2760,871.9,1758.97,10219,기타 수산동물 가공 및 저장 처리업,도시지역/공업지역/준공업지역
134,(주)경민호이스트 녹산지점,김○○,해당없음,부산광역시 강서구 낙동남로549번길 16 (녹산동),055-343-6715,055-343-6712,2013-12-23,2013-12-23,2019-08-13,2019-08-13,1651.2,1148,203.56,"29169, 29133",기타 물품 취급장비 제조업 외 1종,도시지역/공업지역/일반공업지역
135,(주)경부산업,이○○,해당없음,부산광역시 사하구 다산로 195 (다대동),051-263-8186,051-263-5558,2014-04-08,미등록,2019-05-10,2019-05-10,3613,1056,2614.31,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,도시지역/공업지역/일반공업지역
136,(주)경부산업,이○○,해당없음,부산광역시 사하구 다산로 195 (다대동),051-263-8186,051-263-5558,2003-07-08,미등록,2003-07-12,2012-02-02,4496.5,1119.23,965.92,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,도시지역/공업지역
137,(주)경북전기,박○○,해당없음,부산광역시 사하구 다산로105번길 20 (다대동),051-203-4133,051-263-3308,2014-09-04,2014-09-04,2014-09-16,2014-09-16,0,822.9,130.9,28112,변압기 제조업,도시지역/공업지역/일반공업지역
138,(주)경성아이젠,장○○,해당없음,부산광역시 강서구 화전산단2로 77 (화전동),051-972-3677,051-972-3680,2014-02-07,2014-02-07,2014-03-27,2014-05-02,3310.3,1934.5,266.64,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
139,(주)경성이피알,허○○,해당없음,부산광역시 강서구 녹산산단382로14번길 41 (송정동),051-831-4960,051-831-4964,2005-03-23,미등록,2005-04-07,2024-01-08,1653,1194.62,697.3,"31114, 25113, 25114",선박 구성 부분품 제조업 외 2종,도시지역/공업지역/일반공업지역
140,(주)경성정기,신○○,해당없음,부산광역시 강서구 녹산산단289로 66 (송정동),051-831-1156,051-831-1162,2001-05-23,미등록,1999-12-09,2016-10-28,5709.8,4482.7,2574.7,"28111, 29177, 31202",전동기 및 발전기 제조업 외 2종,도시지역/공업지역/일반공업지역
141,(주)경성정기,신○○,해당없음,부산광역시 강서구 녹산산단261로74번길 38(송정동),051-831-1156,051-831-1162,2023-02-20,2023-02-20,2023-02-28,2023-02-28,1682.3,1251,79,31202,철도차량 부품 및 관련 장치물 제조업,도시지역/공업지역/일반공업지역
142,(주)경성정기,신○○,해당없음,"부산광역시 강서구 녹산산단261로60번길 33, (송정동,1603-7) (송정동)",051-831-1156,051-831-1165,2013-09-10,2013-09-10,2014-05-21,2014-05-21,1981.8,2702.28,259.32,31202,철도차량 부품 및 관련 장치물 제조업,도시지역/공업지역/일반공업지역
